tconst,averageRating,numVotes,primaryTitle,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News
tt1728196,7.4,6539.0,Hara-Kiri: Death of a Samurai,Ichimei,128,60201,20 Jul 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1728239,3.8,2920.0,Double Dhamaal,Double Dhamaal,138,543322,01 Jul 2011,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1728986,5.5,7253.0,Bol Bachchan,Bol Bachchan,155,1216258,06 Jul 2012,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1729226,7.1,4020.0,10 timer til Paradis,10 timer til Paradis,92,10068,22 Aug 2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1730687,5.1,3053.0,Darling Companion,Darling Companion,103,793352,24 May 2012,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1730768,7.0,30428.0,The Zookeeper's Wife,The Zookeeper's Wife,127,17407536,07 Apr 2017,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tt1731141,6.6,209772.0,Ender's Game,Ender's Game,114,61656849,01 Nov 2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt1731697,5.1,24797.0,The Lords of Salem,The Lords of Salem,101,1000000,18 Apr 2013,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tt1733525,7.0,868.0,Khodorkovsky,Khodorkovsky,111,14900,30 Nov 2011,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tt1734110,7.2,9886.0,No One Killed Jessica,No One Killed Jessica,136,439801,07 Jan 2011,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt1734477,7.7,1433.0,Public Speaking,Public Speaking,84,12698,22 Nov 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1735279,6.2,35.0,A Girl and a Gun,A Girl and a Gun,76,3006,05 Jul 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tt1735495,6.9,105.0,Addiction Incorporated,Addiction Incorporated,100,39974,14 Oct 2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tt1735839,5.8,1561.0,Any Questions for Ben?,Any Questions for Ben?,114,608731,09 Feb 2012,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1735898,6.1,256848.0,Snow White and the Huntsman,Snow White and the Huntsman,127,155081785,01 Jun 2012,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1735907,5.2,3507.0,The Adderall Diaries,The Adderall Diaries,87,11287,10 Mar 2016,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1736049,6.9,1055.0,A Place at the Table,A Place at the Table,84,230522,01 Mar 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1736633,7.7,17021.0,"Oslo, August 31st","Oslo, 31. august",95,62068,31 Aug 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1736636,6.7,2363.0,Nobody Else But You,Poupoupidou,102,26125,11 May 2012,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt1737122,7.6,231.0,Carol Channing: Larger Than Life,Carol Channing: Larger Than Life,87,15547,20 Jan 2012,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tt1738355,4.9,39.0,Just 45 Minutes from Broadway,Just 45 Minutes from Broadway,112,88557,17 Oct 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1740047,7.0,19929.0,The Trip,The Trip,112,1600000,24 Apr 2011,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1740707,7.0,62907.0,Trollhunter,Trolljegeren,103,252652,29 Oct 2010,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
tt1740710,5.9,8223.0,Mere Brother Ki Dulhan,Mere Brother Ki Dulhan,139,399429,09 Sep 2011,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
