,Distributor,MPAA_Rating,primaryTitle,Opening_Weekend,budget,,'G','GP','M','M/PG','NC-17','Not Yet Rated','PG','PG-13','R','Unknown','Unrated','X'
111,'Warner Bros.','G',2001: A Space Odyssey (2014 re-release),,'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
112,'Warner Bros.','G',2001: A Space Odyssey (2018 re-release),"'$202,759'",'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
113,'Warner Bros.','G',2001: A Space Odyssey (Re-issue),,'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
114,'Magnolia','Unrated',2005 Academy Award Nominated Short Films,"'$28,571'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
115,'Magnolia','Unrated',The 2006 Academy Award Nominated Short Films,"'$105,709'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
116,'Magnolia','Unrated',2007 Academy Award Nominated Short Films,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
117,'Shorts International','Unrated',2008 Oscar Shorts,"'$150,203'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
118,'MGM','PG',2010,"'$7,393,361'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
119,'Shorts International','Unrated',2010 Oscar Shorts,"'$291,360'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
120,'Shorts International','Unrated',2011 Oscar Shorts,"'$300,706'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
121,'Sony / Columbia','PG-13',2012,"'$65,237,614'",'$200 million',0,0,0,0,0,0,0,0,1,0,0,0,0
122,'Shorts International','Unrated',2012 Oscar Nominated Short Films,"'$412,304'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
123,'Mangusta Productions','Unrated',2012: Time for Change,"'$9,009'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
124,'Shorts International','Unrated',2013 Oscar Nominated Short Films,"'$371,605'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
125,'Shorts International','Unrated',2014 Oscar Nominated Short Films,"'$329,505'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
126,'Shorts International','Unrated',2015 Oscar Nominated Short Films,"'$416,850'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
127,'Rocky Mountain Pictures','PG',2016 Obama's America,,'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
128,'Shorts International','Unrated',2016 Oscar Nominated Short Films,"'$559,502'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
129,'Sony Classics','R',2046,"'$113,074'",'$12 million',0,0,0,0,0,0,0,0,0,1,0,0,0
130,'A24','R',20th Century Women,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
131,'Sony / Columbia','PG-13',21,"'$24,105,943'",'$35 million',0,0,0,0,0,0,0,0,1,0,0,0,0
132,'Relativity','R',21 and Over,"'$8,754,168'",'$13 million',0,0,0,0,0,0,0,0,0,1,0,0,0
133,'Focus Features','R',21 Grams,"'$274,454'",'$20 million',0,0,0,0,0,0,0,0,0,1,0,0,0
134,'Sony / Columbia','R',21 Jump Street,"'$36,302,612'",'$42 million',0,0,0,0,0,0,0,0,0,1,0,0,0
135,'Cinedigm Entertainment','Not Yet Rated',22 Bullets,,'N/A',0,0,0,0,0,0,1,0,0,0,0,0,0
136,'Sony / Columbia','R',22 Jump Street,"'$57,071,445'",'$50 million',0,0,0,0,0,0,0,0,0,1,0,0,0
137,'EXP Ent.','Unrated',The 22nd Tournee of Animation,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
138,'Ocean Avenue Entertainment','PG-13',23 Blast,"'$337,091'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
139,,,Box Office,,,1,0,0,0,0,0,0,0,0,0,0,0,0
140,'EXP Ent.','Unrated',The 23rd Tournee of Animation,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
141,'Eros','Not Yet Rated',24 (2016),,'N/A',0,0,0,0,0,0,1,0,0,0,0,0,0
142,'Cinema Guild','Unrated',24 City,"'$6,082'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
143,'Janus Films','Unrated',24 Frames,"'$8,101'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
144,'MGM','R',24 Hour Party People,"'$34,940'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
145,'Artisan','R',The 24-Hour Woman,"'$21,399'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
146,'Screen Media','R',The 24th Day,"'$2,001'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
147,'EXP Ent.','Unrated',The 24th Tournee of Animation,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
148,'Buena Vista','R',25th Hour,"'$108,865'",'$5 million',0,0,0,0,0,0,0,0,0,1,0,0,0
149,'Fox','PG-13',27 Dresses,"'$23,007,725'",'$30 million',0,0,0,0,0,0,0,0,1,0,0,0,0
