tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget
tt2852470,The Missing Picture,0,0,0,0,0,0,0,0,0,0,1,0,7.4,2736.0,L'image manquante,92,31087,19 Mar 2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10148,0
tt1605769,The Monk,0,0,0,0,0,0,0,0,1,0,0,0,5.8,3510.0,Le moine,101,8418,13 Jul 2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8418,0
tt2177771,The Monuments Men,0,0,0,0,0,0,0,1,0,0,0,0,6.1,116707.0,The Monuments Men,118,67239378,07 Feb 2014,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22003433,70000000
tt1538403,The Mortal Instruments: City of Bones,0,0,0,0,0,0,0,1,0,0,0,0,5.9,120841.0,The Mortal Instruments: City of Bones,130,31165421,21 Aug 2013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9336957,60000000
tt1407065,The Moth Diaries,0,0,0,0,0,0,0,0,1,0,0,0,5.0,5958.0,The Moth Diaries,82,3838,17 May 2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2276,0
tt2226597,The Mountain Between Us,0,0,0,0,0,0,0,1,0,0,0,0,6.4,55342.0,The Mountain Between Us,112,29669726,06 Oct 2017,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10551336,35000000
tt2345759,The Mummy,0,0,0,0,0,0,0,1,0,0,0,0,5.5,149666.0,The Mummy,110,80072590,09 Jun 2017,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43369635,80000000
tt1204342,The Muppets,0,0,0,0,0,0,1,0,0,0,0,0,7.1,82259.0,The Muppets,103,88625922,23 Nov 2011,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29239026,45000000
tt1613062,The Music Never Stopped,0,0,0,0,0,0,1,0,0,0,0,0,7.5,7143.0,The Music Never Stopped,105,258077,27 Oct 2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76543,0
tt3549206,The Music of Strangers,0,0,0,0,0,0,0,1,0,0,0,0,7.7,587.0,The Music of Strangers,96,1161575,18 Nov 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24614,0
tt1174042,The Myth of the American Sleepover,0,0,0,0,0,0,0,0,0,0,1,0,6.3,3315.0,The Myth of the American Sleepover,96,39001,07 Apr 2011,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8700,0
