,tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget,valid,avg_pos,avg_neg,no_pos_comms,no_neg_comms
43,tt1554091,A Better Life,0,0,0,0,0,0,0,1,0,0,0,0,7.2,14521.0,A Better Life,98,1754319,28 Jul 2011,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62087,10000000,True,0.5428512585812354,-0.5095917098445603,1748,1158
44,tt0448022,A Bird of the Air,0,0,0,0,0,0,0,1,0,0,0,0,6.6,1047.0,A Bird of the Air,108,10152,23 Sep 2011,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3819,0,True,0.5841732860520016,-0.5003353507565341,6768,2908
45,tt2082496,A Bottle in the Gaza Sea,0,0,0,0,0,0,0,0,0,0,1,0,7.2,976.0,Une bouteille à la mer,100,2531,04 Jan 2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531,0,True,0.5618768323504546,-0.4731473684210529,5935,2660
46,tt1673702,A Cat in Paris,0,0,0,0,0,0,1,0,0,0,0,0,7.0,9762.0,Une vie de chat,70,287709,15 Dec 2010,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34554,0,True,0.6126100840336138,-0.4097324324324324,476,148
47,tt4731136,A Cure for Wellness,0,0,0,0,0,0,0,0,1,0,0,0,6.4,68768.0,A Cure for Wellness,146,8103139,17 Feb 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4356941,40000000,True,0.5423702941176481,-0.47471661237785234,3400,1535
48,tt1571222,A Dangerous Method,0,0,0,0,0,0,0,0,1,0,0,0,6.4,92500.0,A Dangerous Method,99,5702083,10 Nov 2011,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167953,0,True,0.5423436986301388,-0.47428807339449697,2920,1308
49,tt2083379,A Dark Truth,0,0,0,0,0,0,0,0,1,0,0,0,5.6,5520.0,A Dark Truth,106,5750,29 Nov 2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,0,True,0.5564176848874508,-0.4722613475177305,6220,2820
50,tt1753383,A Dog's Purpose,0,0,0,0,0,0,1,0,0,0,0,0,7.0,51240.0,A Dog's Purpose,100,64304940,27 Jan 2017,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18222810,22000000,True,0.5432265437788016,-0.4809417207792234,4340,2464
51,tt5639354,A Fantastic Woman,0,0,0,0,0,0,0,0,1,0,0,0,7.2,17608.0,Una Mujer Fantástica,104,806746,02 Feb 2018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64241,0,True,0.545223553382234,-0.47760430416069244,3681,2091
52,tt2375574,A Field in England,0,0,0,0,0,0,0,0,0,0,1,0,6.3,9217.0,A Field in England,90,30716,05 Jul 2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9498,0,True,0.5471680154142525,-0.49277297830374833,5190,2535
